id,name,last_review,neighbourhood_group_cleansed,neighbourhood_cleansed,review_scores_rating,review_scores_location,review_scores_value,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,square_feet,price,security_deposit,cleaning_fee,guests_included,minimum_nights,number_of_reviews_ltm,last_review,reviews_per_month,number_of_reviews,availability_365,crimes
83847,East Village Designer's 1-BR APT,2019-11-17,Manhattan,East Village,99.0,9.0,9.0,40.724509999999995,-73.98094,Apartment,Entire home/apt,2,1,1,0,225.0,300.0,100.0,2,2,6,2019-11-17,0.34,36,72,0
84659,Large Studio--Heart of East Village,2019-12-02,Manhattan,East Village,94.0,10.0,9.0,40.728429999999996,-73.98895,Apartment,Entire home/apt,2,1,1,0,159.0,0.0,85.0,2,1,72,2019-12-02,3.96,416,200,0
86215,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,2019-12-01,Manhattan,Lower East Side,95.0,10.0,10.0,40.71965,-73.98765999999999,Apartment,Entire home/apt,6,1,2,0,199.0,500.0,75.0,2,2,27,2019-12-01,1.54,162,137,0
87279,A Cozy Uptown Private Bedroom,2019-12-06,Manhattan,East Harlem,93.0,9.0,10.0,40.807829999999996,-73.93878000000001,Apartment,Private room,1,1,1,0,69.0,100.0,0.0,1,1,13,2019-12-06,1.21,127,356,0
115678,Your Stunning Vacation Apartment!,2019-11-20,Manhattan,Harlem,91.0,9.0,9.0,40.818220000000004,-73.94095,Apartment,Entire home/apt,16,1,2,750,99.0,100.0,50.0,2,1,49,2019-11-20,3.27,340,284,0
123784,NYC Studio for Rent in Townhouse,2019-11-03,Manhattan,Harlem,94.0,10.0,9.0,40.804809999999996,-73.94794,Apartment,Entire home/apt,3,1,0,0,110.0,500.0,65.0,1,2,37,2019-11-03,1.53,159,347,0
125053,⚡Quiet Gem w/roof deck on NY's Hottest Street⚡,2019-11-10,Manhattan,East Village,99.0,10.0,9.0,40.72533,-73.99143000000001,Loft,Entire home/apt,3,1,2,0,395.0,300.0,120.0,1,2,22,2019-11-10,0.79,79,150,0
126443,☆Massive DUPLEX☆ 2BR & 2BTH East Village 9+ Guests,2019-11-14,Manhattan,East Village,87.0,10.0,9.0,40.72939,-73.98857,Apartment,Entire home/apt,9,2,2,1100,189.0,400.0,115.0,3,2,84,2019-11-14,4.18,432,201,0
128975,City Room - Street View Apt,2019-10-24,Manhattan,Harlem,93.0,9.0,9.0,40.81333,-73.94453,Apartment,Entire home/apt,5,1,1,700,122.0,200.0,75.0,2,1,15,2019-10-24,1.18,122,344,0
148825,Best City Area Columbia U Upper West Side C Park,2019-11-16,Manhattan,Upper West Side,94.0,10.0,10.0,40.79765,-73.96245,Apartment,Entire home/apt,4,1,2,0,150.0,200.0,75.0,2,2,40,2019-11-16,2.24,208,317,0
