id,name,last_review,neighbourhood_group_cleansed,neighbourhood_cleansed,review_scores_rating,review_scores_location,review_scores_value,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,square_feet,price,security_deposit,cleaning_fee,guests_included,minimum_nights,number_of_reviews_ltm,last_review,reviews_per_month,number_of_reviews,availability_365,crimes
39267,CENTRAL PARK LOFT all for YOU,2019-11-15,Manhattan,Upper East Side,84.0,9.0,9.0,40.77456,-73.95323,Apartment,Entire home/apt,4,1,1,0,99.0,100.0,60.0,1,1,35.0,2019-11-15,2.65,252,158,50
44212,West Inn 2 - East Village,2019-10-25,Manhattan,East Village,95.0,10.0,10.0,40.72518,-73.98034,Apartment,Private room,2,1,1,0,125.0,0.0,0.0,2,1,21.0,2019-10-25,0.83,94,346,33
54544,City Room - Private Penthouse Apt.,2019-11-11,Manhattan,Harlem,92.0,9.0,9.0,40.81035,-73.94598,Apartment,Entire home/apt,5,1,1,0,121.0,200.0,85.0,2,1,23.0,2019-11-11,1.1,119,329,85
56467,Cozy East Village Railroad 1 Bed!,2019-11-26,Manhattan,East Village,96.0,10.0,10.0,40.72752,-73.98432,Apartment,Entire home/apt,3,1,1,500,130.0,500.0,120.0,2,1,51.0,2019-11-26,2.12,223,98,67
56859,City Room - Private & Comfy Bedroom,2019-11-16,Manhattan,Harlem,93.0,9.0,10.0,40.81219,-73.94499,Apartment,Private room,2,1,1,0,64.0,200.0,40.0,2,1,29.0,2019-11-16,1.86,203,328,51
57754,Stylish Large Gramercy Loft!,2019-11-27,Manhattan,Flatiron District,99.0,10.0,10.0,40.7403,-73.98498,Loft,Entire home/apt,2,1,1,800,305.0,500.0,75.0,2,2,16.0,2019-11-27,1.1,114,314,90
58059,PRIVATE Room on Historic Sugar Hill,2019-11-29,Manhattan,Harlem,93.0,10.0,10.0,40.8251,-73.94287,Apartment,Private room,3,1,1,0,60.0,100.0,25.0,2,1,74.0,2019-11-29,4.68,491,286,45
60666,City Room - Private Luxury Suite,2019-11-16,Manhattan,Harlem,94.0,9.0,9.0,40.8118,-73.94434,Apartment,Private room,3,1,1,0,92.0,150.0,40.0,2,1,32.0,2019-11-16,1.89,205,325,32
64837,ENJOY Downtown NYC!!,2019-10-12,Manhattan,East Village,91.0,10.0,9.0,40.72321,-73.98157,Apartment,Private room,2,1,1,0,68.0,100.0,30.0,1,2,25.0,2019-10-12,1.94,211,21,71
65019,Charming UWS Treehouse Apt,2019-11-30,Manhattan,Upper West Side,98.0,10.0,10.0,40.77932,-73.98057,Apartment,Entire home/apt,2,1,1,0,115.0,500.0,80.0,1,1,83.0,2019-11-30,2.33,245,125,17
